id,title,description,address,startat,endat,traffic,contact,email,istramway,idparking,image,imagetext,link,type,location,geo_point_2d
98011,"Réhabilitation des réseaux d'Eaux Usées et d'Eaux Potables, boulevard du maréchal-Lyautey, rue Paul-Valéry, rue de l'amiral-Barjot, square du Limousin","Interdiction de stationnement, Neutralisation de voie, Circulation interdite, Déviation","Boulevard du maréchal-Lyautey, rue Paul-Valéry, rue de l'amiral-Barjot, square du Limousin",2025-04-22T08:00:00+00:00,2025-09-05T18:00:00+00:00,deviated,0241215400,info-travaux@ville.angers.fr,0,,,,,other,"{'type': 'Feature', 'geometry': {'coordinates': [-0.529620679, 47.487383719], 'type': 'Point'}, 'properties': {}}","{'lon': -0.529620679, 'lat': 47.487383719}"
98427,"Extension du réseau de chaleur urbain, route d'Épinard et rue Barra","Interdiction de stationnement, Neutralisation de voie piétonne, Circulation interdite",Route d'Épinard (du mail Comte à la rue Barra) et rue Barra,2025-05-19T08:00:00+00:00,2025-09-05T18:00:00+00:00,deviated,0241215400,info-travaux@ville.angers.fr,0,,,,,other,"{'type': 'Feature', 'geometry': {'coordinates': [-0.565486885, 47.486140237], 'type': 'Point'}, 'properties': {}}","{'lon': -0.565486885, 'lat': 47.486140237}"
99302,"Aménagement du trottoir et de la piste cyclable, boulevard du général-de-Gaulle","Interdiction de stationnement, Neutralisation de voie (voie de droite et la voie de bus), Chaussée rétrécie",Boulevard du général-de-Gaulle,2025-06-20T08:00:00+00:00,2025-11-30T18:00:00+00:00,slow,0241215400,info-travaux@ville.angers.fr,0,,,,,other,"{'type': 'Feature', 'geometry': {'coordinates': [-0.560238361, 47.469279669], 'type': 'Point'}, 'properties': {}}","{'lon': -0.560238361, 'lat': 47.469279669}"
96801,"Modification de la signalisation verticale, rue de la Poissonnerie, rue Baudrière","Mesure libre circulation, Interdiction de tourner, Double sens de circulation","Rue de la Poissonnerie, rue Baudrière",2025-06-30T08:00:00+00:00,2025-09-15T18:00:00+00:00,slow,0241215400,info-travaux@ville.angers.fr,0,,,,,other,"{'type': 'Feature', 'geometry': {'coordinates': [-0.556397438, 47.472764397], 'type': 'Point'}, 'properties': {}}","{'lon': -0.556397438, 'lat': 47.472764397}"
99650,"Création de génie civil Télécom et déplacement de candélabres, rue François-Cevert","Circulation alternée, Interdiction de stationnement, Chaussée rétrécie",Rue François-Cevert,2025-07-07T08:00:00+00:00,2025-10-03T18:00:00+00:00,slow,0241215400,info-travaux@ville.angers.fr,0,,,,,other,"{'type': 'Feature', 'geometry': {'coordinates': [-0.542539481, 47.443776899], 'type': 'Point'}, 'properties': {}}","{'lon': -0.542539481, 'lat': 47.443776899}"
99999,"Mise en oeuvre de réseaux de chauffage, rue Gabriel-Baron","Circulation interdite, Neutralisation de voie, Interdiction de stationnement, Chaussée rétrécie",Rue Gabriel-Baron,2025-07-07T08:00:00+00:00,2025-09-30T18:00:00+00:00,deviated,0241215400,info-travaux@ville.angers.fr,0,,,,,other,"{'type': 'Feature', 'geometry': {'coordinates': [-0.528443675, 47.490125733], 'type': 'Point'}, 'properties': {}}","{'lon': -0.528443675, 'lat': 47.490125733}"
99839,"Branchement électrique, rue de Flandre","Circulation alternée, Interdiction de stationnement, Neutralisation de voie, Chaussée rétrécie",Rue de Flandre (du 32 au 38),2025-07-21T08:00:00+00:00,2025-08-29T18:00:00+00:00,slow,0241215400,info-travaux@ville.angers.fr,0,,,,,other,"{'type': 'Feature', 'geometry': {'coordinates': [-0.526659461, 47.48050104], 'type': 'Point'}, 'properties': {}}","{'lon': -0.526659461, 'lat': 47.48050104}"
100356,"Pose d'éclairage et de vidéo protection, rue de la Garelle, rue Gabriel-Baron","Interdiction de stationnement, Circulation interdite, Chaussée rétrécie","Rue de la Garelle, rue Gabriel-Baron",2025-07-26T08:00:00+00:00,2025-10-31T18:00:00+00:00,deviated,0241215400,info-travaux@ville.angers.fr,0,,,,,other,"{'type': 'Feature', 'geometry': {'coordinates': [-0.528291549, 47.489914224], 'type': 'Point'}, 'properties': {}}","{'lon': -0.528291549, 'lat': 47.489914224}"
100516,"Réhabilitation d'une copropriété, rue du Mail, rue des Aix","Interdiction de stationnement, Neutralisation de voie, Réservation de stationnement",Rue du Mail (du 48 au 52),2025-08-04T08:00:00+00:00,2025-10-30T18:00:00+00:00,slow,0241215400,info-travaux@ville.angers.fr,0,,,,,other,"{'type': 'Feature', 'geometry': {'coordinates': [-0.551360288, 47.473762797], 'type': 'Point'}, 'properties': {}}","{'lon': -0.551360288, 'lat': 47.473762797}"
96183,"Construction d'un parking, rue de Quatrebarbes","Neutralisation de voie, Circulation alternée",Rue de Quatrebarbes,2025-03-10T08:00:00+00:00,2025-12-31T18:00:00+00:00,slow,0241215400,info-travaux@ville.angers.fr,0,,,,,other,"{'type': 'Feature', 'geometry': {'coordinates': [-0.560630886, 47.468741402], 'type': 'Point'}, 'properties': {}}","{'lon': -0.560630886, 'lat': 47.468741402}"
